,posteriors1,posteriors2,id,treatment,prior,recall_num_orange,num_misremember_orange,num_misremember_blue
190,80,20,11218,8,45.0,4.0,1.0,0.0
191,20,70,5840,1,88.0,3.0,0.0,0.0
192,50,50,11267,2,50.0,0.0,0.0,2.0
193,30,40,10810,5,50.0,5.0,1.0,0.0
194,50,0,11220,3,18.0,4.0,0.0,0.0
195,40,100,6621,7,75.0,1.0,0.0,0.0
196,50,50,5763,2,50.0,2.0,0.0,2.0
197,27,2,11107,8,30.0,3.0,0.0,0.0
198,40,60,10480,2,50.0,2.0,1.0,1.0
199,45,55,10666,7,70.0,1.0,1.0,2.0
200,60,0,10669,3,25.0,3.0,1.0,0.0
201,50,0,11198,3,28.0,6.0,2.0,0.0
202,60,0,6126,6,50.0,5.0,2.0,0.0
203,60,40,4232,8,50.0,1.0,1.0,0.0
204,60,40,10943,4,87.0,2.0,0.0,1.0
205,70,30,10781,5,50.0,5.0,1.0,2.0
206,46,100,10851,4,75.0,2.0,0.0,1.0
207,40,25,10260,3,20.0,3.0,1.0,1.0
208,70,0,11196,6,37.0,9.0,0.0,0.0
209,45,55,4290,1,75.0,4.0,0.0,2.0
210,60,30,10749,5,50.0,2.0,0.0,0.0
211,50,100,11575,1,75.0,1.0,0.0,1.0
212,40,60,11350,3,20.0,3.0,1.0,0.0
213,5,0,10164,3,20.0,0.0,2.0,0.0
214,60,40,9609,4,80.0,3.0,0.0,1.0
215,80,5,9639,6,45.0,3.0,2.0,0.0
216,50,25,11028,5,50.0,5.0,2.0,0.0
217,45,0,6502,6,25.0,4.0,0.0,0.0
218,39,70,10310,7,43.0,3.0,2.0,1.0
219,50,100,10404,1,73.0,10.0,0.0,0.0
220,13,17,11137,2,20.0,4.0,0.0,1.0
221,39,64,5676,8,50.0,3.0,0.0,0.0
222,50,50,10610,2,25.0,1.0,0.0,0.0
223,40,30,6102,2,50.0,1.0,1.0,1.0
224,70,30,10510,8,39.0,6.0,1.0,0.0
225,83,15,4684,6,60.0,4.0,1.0,0.0
226,70,0,5241,6,35.0,7.0,0.0,0.0
227,40,75,6262,1,70.0,0.0,0.0,0.0
228,30,70,6447,5,45.0,2.0,2.0,0.0
229,30,80,5734,2,40.0,4.0,0.0,1.0
230,40,96,10573,7,65.0,3.0,2.0,0.0
231,40,59,10049,7,59.0,1.0,1.0,1.0
232,25,50,5331,2,60.0,0.0,1.0,0.0
233,71,30,4169,5,50.0,10.0,0.0,0.0
234,65,0,6722,6,22.0,2.0,1.0,0.0
235,65,100,6050,4,82.0,3.0,1.0,2.0
236,58,0,11213,3,21.0,7.0,2.0,0.0
237,40,20,10170,3,32.0,3.0,0.0,0.0
238,50,50,11564,6,56.0,0.0,2.0,1.0
239,50,50,6511,4,70.0,5.0,1.0,0.0
240,70,60,9896,4,90.0,1.0,0.0,1.0
241,90,85,6398,8,35.0,4.0,1.0,0.0
242,55,0,10583,8,25.0,9.0,1.0,0.0
243,50,80,11565,4,80.0,2.0,1.0,1.0
244,75,95,11520,4,92.0,4.0,1.0,1.0
245,96,4,6342,6,33.0,3.0,0.0,0.0
246,72,52,6726,4,50.0,9.0,1.0,2.0
247,75,0,11304,3,35.0,9.0,1.0,0.0
248,20,10,6093,6,5.0,2.0,2.0,0.0
249,80,20,6433,7,65.0,3.0,1.0,0.0
250,45,30,10997,5,50.0,3.0,1.0,1.0
251,61,11,10798,5,39.0,5.0,1.0,1.0
252,70,90,6354,7,85.0,2.0,2.0,1.0
253,40,100,11406,3,20.0,4.0,0.0,1.0
254,75,95,6757,1,75.0,3.0,0.0,0.0
255,70,10,6645,1,57.0,1.0,1.0,1.0
256,60,85,11459,4,80.0,3.0,0.0,1.0
257,46,0,11212,8,25.0,0.0,2.0,0.0
258,75,5,11540,8,32.0,2.0,1.0,0.0
259,95,10,10013,5,50.0,0.0,1.0,1.0
260,66,76,11241,2,44.0,3.0,2.0,1.0
261,59,41,4156,2,42.0,2.0,0.0,1.0
262,71,0,10227,8,27.0,4.0,0.0,0.0
263,20,80,11573,1,70.0,1.0,0.0,2.0
264,25,24,11370,5,53.0,1.0,2.0,0.0
265,30,60,5502,2,40.0,1.0,1.0,0.0
266,78,76,11126,7,70.0,2.0,1.0,1.0
267,35,5,3450,3,40.0,2.0,1.0,0.0
268,29,87,10881,1,58.0,4.0,0.0,2.0
269,40,60,11151,4,83.0,2.0,1.0,1.0
270,69,41,10192,5,45.0,3.0,1.0,0.0
271,58,0,11181,8,41.0,3.0,1.0,0.0
272,33,20,6624,3,28.0,2.0,1.0,0.0
273,50,65,6460,7,70.0,2.0,1.0,0.0
274,75,100,11051,4,90.0,2.0,0.0,0.0
275,43,57,10388,5,32.0,6.0,0.0,1.0
276,80,40,5699,2,60.0,2.0,0.0,1.0
277,50,60,11397,2,50.0,2.0,0.0,2.0
278,19,9,11288,6,4.0,9.0,1.0,1.0
279,35,100,11276,7,20.0,2.0,1.0,1.0
280,60,39,11303,8,24.0,4.0,1.0,0.0
281,45,55,10389,1,80.0,3.0,0.0,1.0
282,45,30,10520,3,50.0,0.0,0.0,1.0
283,50,100,11577,7,75.0,1.0,2.0,1.0
284,60,0,11384,3,30.0,3.0,1.0,0.0
285,80,0,5321,6,40.0,1.0,1.0,0.0
286,30,90,10897,1,80.0,2.0,1.0,1.0
287,40,25,11420,3,40.0,4.0,0.0,0.0
288,80,30,10038,8,30.0,2.0,1.0,1.0
289,70,100,10568,4,80.0,4.0,0.0,0.0
290,75,0,11243,6,32.0,3.0,0.0,0.0
291,35,20,6028,5,48.0,5.0,0.0,0.0
292,78,40,6231,5,50.0,0.0,0.0,0.0
293,80,25,6672,5,40.0,7.0,0.0,0.0
294,20,90,9947,7,70.0,0.0,1.0,2.0
295,49,47,6529,7,75.0,7.0,0.0,2.0
296,38,78,6443,2,35.0,1.0,0.0,2.0
297,75,97,6839,4,85.0,2.0,1.0,1.0
298,70,90,5903,1,80.0,0.0,1.0,1.0
299,62,41,6256,5,45.0,8.0,0.0,1.0
300,68,0,4270,8,60.0,0.0,1.0,0.0
301,40,60,5309,7,70.0,2.0,1.0,2.0
302,90,10,11413,3,55.0,3.0,1.0,1.0
303,39,63,9673,3,63.0,0.0,1.0,0.0
304,50,50,11486,3,50.0,0.0,1.0,1.0
305,60,82,5268,7,65.0,2.0,1.0,1.0
306,50,100,11388,1,74.0,2.0,0.0,0.0
307,55,25,10320,2,62.0,2.0,0.0,0.0
308,35,55,5963,4,90.0,2.0,0.0,1.0
309,25,40,9973,2,35.0,0.0,0.0,0.0
310,56,67,3731,1,84.0,0.0,2.0,1.0
311,50,60,11578,7,55.0,2.0,0.0,0.0
312,35,65,11534,4,60.0,1.0,1.0,1.0
313,60,0,5463,8,25.0,6.0,2.0,0.0
314,40,61,5851,1,61.0,1.0,0.0,0.0
315,10,0,11360,3,10.0,3.0,1.0,0.0
316,40,49,11320,5,33.0,5.0,0.0,0.0
317,49,100,5219,4,100.0,8.0,0.0,0.0
318,41,9,1482,6,41.0,7.0,0.0,0.0
319,70,30,10133,8,37.0,2.0,0.0,1.0
320,45,25,3720,5,48.0,0.0,1.0,1.0
321,60,0,10243,8,30.0,6.0,0.0,0.0
322,70,30,4018,5,49.0,9.0,2.0,1.0
323,85,90,9455,4,12.0,2.0,1.0,2.0
324,63,100,11017,1,68.0,2.0,0.0,1.0
325,28,30,3723,8,32.0,1.0,0.0,1.0
326,53,0,10830,8,30.0,6.0,0.0,0.0
327,20,0,11077,6,20.0,8.0,0.0,0.0
328,35,100,4300,7,90.0,2.0,0.0,0.0
329,50,45,6509,2,75.0,3.0,1.0,1.0
330,35,100,4157,1,15.0,1.0,0.0,1.0
331,49,23,4321,8,25.0,2.0,0.0,1.0
332,83,17,6721,2,45.0,2.0,1.0,0.0
333,45,100,10640,1,65.0,4.0,1.0,2.0
334,60,40,9812,5,50.0,1.0,2.0,0.0
335,50,10,11042,3,28.0,3.0,1.0,1.0
336,50,0,11579,3,36.0,7.0,1.0,0.0
337,46,60,11351,4,80.0,1.0,1.0,0.0
338,71,95,6574,1,80.0,8.0,1.0,1.0
339,60,40,6011,5,70.0,3.0,0.0,1.0
340,50,50,4389,1,61.0,0.0,0.0,0.0
341,40,0,3738,8,40.0,4.0,1.0,0.0
342,29,25,11334,2,50.0,2.0,0.0,1.0
343,62,12,11203,3,34.0,4.0,2.0,1.0
344,25,100,5122,7,75.0,7.0,0.0,0.0
